Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
external_short_InfluenzaAvirus_h3n2__Human_58	31	30	172	10	41	56	158	14	17
external_short_InfluenzaAvirus_h3n2__Human_59	47	0	114	32	69	21	142	58	21
external_short_InfluenzaAvirus_h3n2__Human_6	32	0	102	0	0	57	262	79	57
external_short_InfluenzaAvirus_h3n2__Human_60	35	0	100	0	98	28	168	40	55
external_short_InfluenzaAvirus_h3n2__Human_61	0	0	141	0	102	0	148	108	41
external_short_InfluenzaAvirus_h3n2__Human_62	34	81	162	0	0	26	167	56	42
external_short_InfluenzaAvirus_h3n2__Human_63	47	0	199	0	0	28	201	78	0
external_short_InfluenzaAvirus_h3n2__Human_64	24	9	94	11	28	9	210	43	57
external_short_InfluenzaAvirus_h3n2__Human_65	30	0	153	0	0	40	219	44	42
external_short_InfluenzaAvirus_h3n2__Human_66	33	0	169	0	0	29	161	0	89
external_short_InfluenzaAvirus_h3n2__Human_67	0	0	110	40	0	47	168	100	0
external_short_InfluenzaAvirus_h3n2__Human_68	36	0	121	65	0	40	173	50	28
external_short_InfluenzaAvirus_h3n2__Human_69	95	0	155	0	0	0	181	81	63
external_short_InfluenzaAvirus_h3n2__Human_7	27	0	124	0	0	0	306	70	0
external_short_InfluenzaAvirus_h3n2__Human_70	102	0	172	0	0	0	157	115	0
external_short_InfluenzaAvirus_h3n2__Human_71	94	0	82	44	0	0	233	52	49
external_short_InfluenzaAvirus_h3n2__Human_72	52	0	134	72	0	0	224	47	55
external_short_InfluenzaAvirus_h3n2__Human_73	56	0	104	38	0	0	127	104	84
external_short_InfluenzaAvirus_h3n2__Human_74	57	0	99	0	0	55	211	64	106
external_short_InfluenzaAvirus_h3n2__Human_75	113	0	223	0	0	0	162	0	34
external_short_InfluenzaAvirus_h3n2__Human_76	96	0	206	45	0	39	152	0	60
external_short_InfluenzaAvirus_h3n2__Human_77	86	0	216	63	0	0	143	0	24
external_short_InfluenzaAvirus_h3n2__Human_78	68	0	173	61	0	0	161	84	0
external_short_InfluenzaAvirus_h3n2__Human_79	125	0	108	0	0	0	221	50	52
external_short_InfluenzaAvirus_h3n2__Human_8	0	0	163	0	0	65	187	109	0
external_short_InfluenzaAvirus_h3n2__Human_80	93	0	138	52	0	40	146	70	31
external_short_InfluenzaAvirus_h3n2__Human_81	112	0	170	0	0	0	143	0	74
external_short_InfluenzaAvirus_h3n2__Human_82	90	108	130	0	0	0	161	0	64
external_short_InfluenzaAvirus_h3n2__Human_83	139	20	155	44	18	44	86	39	22
external_short_InfluenzaAvirus_h3n2__Human_84	110	0	165	0	0	0	224	0	64
external_short_InfluenzaAvirus_h3n2__Human_85	117	0	123	46	0	0	150	59	44
external_short_InfluenzaAvirus_h3n2__Human_86	44	0	68	25	0	21	72	79	27
external_short_InfluenzaAvirus_h3n2__Human_9	12	25	82	12	158	62	95	43	80
external_short_InfluenzaAvirus_h3n2__Swine_1	0	0	141	0	107	72	134	0	108
external_short_InfluenzaAvirus_h3n2__internal_1	7	3	45	9	108	62	208	73	85
external_short_InfluenzaAvirus_h3n2__internal_10	153	0	213	76	0	0	75	0	73
external_short_InfluenzaAvirus_h3n2__internal_11	148	0	220	0	0	35	140	0	46
external_short_InfluenzaAvirus_h3n2__internal_12	86	0	227	0	0	0	120	74	0
external_short_InfluenzaAvirus_h3n2__internal_13	108	0	198	44	0	0	151	0	39
external_short_InfluenzaAvirus_h3n2__internal_14	133	0	243	0	0	0	105	0	89
external_short_InfluenzaAvirus_h3n2__internal_15	93	0	141	47	0	28	121	76	48
external_short_InfluenzaAvirus_h3n2__internal_16	75	0	146	0	0	32	138	89	38
external_short_InfluenzaAvirus_h3n2__internal_17	21	0	174	0	78	62	160	0	51
external_short_InfluenzaAvirus_h3n2__internal_18	0	0	203	0	0	66	195	55	30
external_short_InfluenzaAvirus_h3n2__internal_19	24	0	178	0	0	50	178	69	32
external_short_InfluenzaAvirus_h3n2__internal_2	9	48	135	8	47	134	236	48	15
external_short_InfluenzaAvirus_h3n2__internal_20	33	0	112	0	103	30	115	0	72
external_short_InfluenzaAvirus_h3n2__internal_21	0	0	167	0	0	57	199	0	65
external_short_InfluenzaAvirus_h3n2__internal_22	35	0	158	0	0	41	177	62	66
external_short_InfluenzaAvirus_h3n2__internal_23	30	0	163	0	0	54	147	42	74
external_short_InfluenzaAvirus_h3n2__internal_24	0	0	254	0	0	71	129	0	83
external_short_InfluenzaAvirus_h3n2__internal_25	13	8	167	9	21	17	195	53	31
external_short_InfluenzaAvirus_h3n2__internal_26	26	0	167	0	0	86	154	0	64
external_short_InfluenzaAvirus_h3n2__internal_27	28	0	147	0	0	98	141	97	42
external_short_InfluenzaAvirus_h3n2__internal_28	56	0	273	0	0	27	139	0	0
external_short_InfluenzaAvirus_h3n2__internal_29	39	0	148	0	0	105	140	78	48
external_short_InfluenzaAvirus_h3n2__internal_3	0	0	0	0	75	54	283	96	30
external_short_InfluenzaAvirus_h3n2__internal_30	29	0	120	0	0	49	163	150	32
external_short_InfluenzaAvirus_h3n2__internal_31	0	0	228	0	0	36	154	105	0
external_short_InfluenzaAvirus_h3n2__internal_32	25	0	124	0	68	47	116	126	0
external_short_InfluenzaAvirus_h3n2__internal_33	0	0	67	0	0	20	15	0	0
external_short_InfluenzaAvirus_h3n2__internal_4	0	0	0	0	0	48	356	79	46
external_short_InfluenzaAvirus_h3n2__internal_5	35	0	150	0	0	48	151	105	0
external_short_InfluenzaAvirus_h3n2__internal_6	43	0	297	0	0	0	114	0	45
external_short_InfluenzaAvirus_h3n2__internal_7	34	0	123	0	100	50	99	60	37
external_short_InfluenzaAvirus_h3n2__internal_8	26	0	168	0	78	59	129	66	0
external_short_InfluenzaAvirus_h3n2__internal_9	48	7	197	5	44	57	138	39	6
external_short_InfluenzaAvirus_h5n1__Anas_platyrhynchos_1	70	0	71	0	0	0	54	21	13
external_short_InfluenzaAvirus_h5n1__Anas_sp._1	90	0	149	0	0	40	121	0	51
external_short_InfluenzaAvirus_h5n1__Avian_1	108	0	222	0	0	0	157	0	40
external_short_InfluenzaAvirus_h5n1__Avian_2	124	0	158	0	0	32	106	73	44
external_short_InfluenzaAvirus_h5n1__Avian_3	100	0	132	0	0	25	176	96	0
external_short_InfluenzaAvirus_h5n1__Avian_4	86	0	193	0	0	62	146	0	43
external_short_InfluenzaAvirus_h5n1__Avian_5	67	0	147	44	0	0	155	72	0
external_short_InfluenzaAvirus_h5n1__Chicken_1	133	0	119	0	91	0	119	47	0
external_short_InfluenzaAvirus_h5n1__Chicken_2	55	0	197	40	0	0	201	0	0
external_short_InfluenzaAvirus_h5n1__Chicken_3	116	60	220	0	0	0	150	0	0
external_short_InfluenzaAvirus_h5n1__Chicken_4	34	0	148	0	86	0	186	0	44
external_short_InfluenzaAvirus_h5n1__Chicken_5	95	0	194	0	71	0	171	0	58
external_short_InfluenzaAvirus_h5n1__Chicken_6	83	0	199	0	0	20	96	0	0
external_short_InfluenzaAvirus_h5n1__Cygnus_olor_1	44	0	56	0	0	0	54	30	0
external_short_InfluenzaAvirus_h5n1__Duck_1	110	0	223	0	0	0	144	0	39
external_short_InfluenzaAvirus_h5n1__Duck_2	49	63	174	11	84	3	124	8	41
external_short_InfluenzaAvirus_h5n1__Duck_3	49	44	174	5	56	39	131	4	25
external_short_InfluenzaAvirus_h5n1__Environment_1	55	0	67	0	0	0	103	39	26
external_short_InfluenzaAvirus_h5n1__Gallus_gallus_1	96	0	116	0	0	29	93	0	26
external_short_InfluenzaAvirus_h5n1__Gallus_gallus_domesticus_1	13	0	113	0	0	30	62	31	0
external_short_InfluenzaAvirus_h5n1__Goose_1	87	0	148	0	0	0	167	53	0
external_short_InfluenzaAvirus_h5n1__Gull_1	49	0	0	0	0	0	30	19	15
external_short_InfluenzaAvirus_h5n1__Human_1	88	0	221	0	108	31	162	0	55
external_short_InfluenzaAvirus_h5n1__Other_avian_1	83	0	144	0	0	0	206	47	38
external_short_InfluenzaAvirus_h5n1__Other_avian_2	111	0	125	0	0	0	187	106	36
external_short_InfluenzaAvirus_h5n1__Other_mammals_1	27	0	77	0	0	0	53	0	17
external_short_InfluenzaAvirus_h5n1__Swan_1	12	0	49	0	0	29	44	0	0
external_short_InfluenzaAvirus_h5n1__Turkey_1	30	0	125	0	0	0	82	0	13
external_short_InfluenzaAvirus_h5n1__internal_1	83	0	222	0	0	0	133	59	38
external_short_InfluenzaAvirus_h5n1__internal_10	101	0	132	0	0	35	127	107	47
external_short_InfluenzaAvirus_h5n1__internal_11	99	0	127	0	59	0	121	36	54
external_short_InfluenzaAvirus_h5n1__internal_12	121	0	256	0	0	0	101	0	72
external_short_InfluenzaAvirus_h5n1__internal_13	98	0	240	0	0	0	124	0	80
external_short_InfluenzaAvirus_h5n1__internal_14	103	0	215	0	76	0	86	0	36
external_short_InfluenzaAvirus_h5n1__internal_15	56	0	202	0	0	29	133	0	34
external_short_InfluenzaAvirus_h5n1__internal_2	102	0	181	0	0	0	188	46	41
external_short_InfluenzaAvirus_h5n1__internal_3	129	0	159	0	0	0	148	105	52
external_short_InfluenzaAvirus_h5n1__internal_4	116	0	150	0	0	28	139	81	53
external_short_InfluenzaAvirus_h5n1__internal_5	113	0	218	0	0	69	155	45	66
external_short_InfluenzaAvirus_h5n1__internal_6	62	0	183	0	0	51	136	51	63
external_short_InfluenzaAvirus_h5n1__internal_7	84	0	180	0	0	0	197	0	23
external_short_InfluenzaAvirus_h5n1__internal_8	128	0	201	0	0	0	149	0	37
external_short_InfluenzaAvirus_h5n1__internal_9	84	0	245	0	0	0	148	0	41
external_short_Lyssavirus_rabies_Bat_1	68	5	491	29	48	96	213	102	117
external_short_Lyssavirus_rabies_Cat_1	23	60	235	18	3	6	83	27	19
external_short_Lyssavirus_rabies_Cow_1	29	38	368	21	4	28	53	49	85
external_short_Lyssavirus_rabies_Cow_2	0	0	93	0	0	0	0	48	54
external_short_Lyssavirus_rabies_Dog_1	55	45	204	9	102	3	48	3	54
external_short_Lyssavirus_rabies_Dog_2	125	0	479	0	0	0	74	98	126
external_short_Lyssavirus_rabies_Dog_3	68	96	288	0	0	0	53	0	51
external_short_Lyssavirus_rabies_Dog_4	64	112	247	0	0	0	76	0	113
external_short_Lyssavirus_rabies_Dog_5	54	32	241	13	2	3	68	73	89
external_short_Lyssavirus_rabies_Dog_6	76	71	433	17	23	17	69	87	74
external_short_Lyssavirus_rabies_Dog_7	42	60	293	0	77	36	59	0	34
external_short_Lyssavirus_rabies_Dog_8	47	16	339	11	132	26	114	72	66
external_short_Lyssavirus_rabies_Dog_9	32	16	183	7	22	7	54	30	38
external_short_Lyssavirus_rabies_Fox_1	75	0	564	0	0	0	108	0	220
external_short_Lyssavirus_rabies_Fox_2	25	18	337	10	11	13	60	34	37
external_short_Lyssavirus_rabies_Fox_3	84	0	195	0	0	0	88	72	99
external_short_Lyssavirus_rabies_Fox_4	15	0	46	13	31	0	58	0	23
external_short_Lyssavirus_rabies_Goat_1	8	0	76	0	0	16	0	12	0
external_short_Lyssavirus_rabies_Human_1	49	36	206	8	30	16	35	17	69
external_short_Lyssavirus_rabies_Human_2	23	0	91	0	0	11	43	27	10
external_short_Lyssavirus_rabies_Jackal_1	58	0	214	0	0	0	38	29	26
external_short_Lyssavirus_rabies_Mouse_1	23	0	215	0	0	0	41	49	42
external_short_Lyssavirus_rabies_Raccoon_1	163	246	1171	52	40	74	197	114	186
external_short_Lyssavirus_rabies_Raccoon_2	55	0	406	0	0	49	0	0	56
external_short_Lyssavirus_rabies_Raccoon_3	10	90	115	0	0	0	0	0	0
external_short_Lyssavirus_rabies_Raccoon_4	45	60	270	17	18	36	133	8	104
external_short_Lyssavirus_rabies_Raccoon_5	18	0	64	0	0	0	23	22	52
external_short_Lyssavirus_rabies_Raccoon_Dog_1	0	0	139	10	0	16	0	19	25
external_short_Lyssavirus_rabies_Red_Fox_1	35	0	254	0	0	30	97	57	46
external_short_Lyssavirus_rabies_Red_Fox_2	44	0	226	0	0	0	0	0	66
external_short_Lyssavirus_rabies_Skunk_1	53	44	259	2	5	4	104	28	66
external_short_Lyssavirus_rabies_Skunk_2	44	68	281	31	0	0	82	0	100
external_short_Lyssavirus_rabies_Skunk_3	80	0	202	0	0	43	81	45	78
external_short_Lyssavirus_rabies_Skunk_4	0	68	109	32	0	20	0	0	34
external_short_Lyssavirus_rabies_Wolf_1	21	37	133	0	0	0	0	30	0
external_short_Lyssavirus_rabies_internal_1	38	148	329	0	0	0	0	0	38
external_short_Lyssavirus_rabies_internal_10	50	0	500	42	0	0	0	0	102
external_short_Lyssavirus_rabies_internal_11	107	62	658	52	35	57	193	88	219
external_short_Lyssavirus_rabies_internal_12	116	130	374	0	0	0	0	121	107
external_short_Lyssavirus_rabies_internal_13	43	0	281	0	0	41	50	52	77
external_short_Lyssavirus_rabies_internal_14	92	20	499	3	66	65	117	29	100
external_short_Lyssavirus_rabies_internal_15	88	116	595	23	9	41	54	28	156
external_short_Lyssavirus_rabies_internal_16	65	0	331	0	61	36	0	0	61
external_short_Lyssavirus_rabies_internal_17	94	0	293	0	0	0	0	142	68
external_short_Lyssavirus_rabies_internal_18	72	0	427	0	0	0	0	0	100
external_short_Lyssavirus_rabies_internal_19	86	187	660	0	0	97	0	0	122
external_short_Lyssavirus_rabies_internal_2	67	111	445	0	0	32	0	0	83
external_short_Lyssavirus_rabies_internal_20	42	84	298	23	28	8	42	29	40
external_short_Lyssavirus_rabies_internal_21	74	0	293	0	0	0	54	53	91
external_short_Lyssavirus_rabies_internal_22	55	0	267	0	0	32	73	0	154
external_short_Lyssavirus_rabies_internal_23	22	28	189	9	12	32	56	33	59
external_short_Lyssavirus_rabies_internal_24	44	12	165	14	14	15	34	1	47
external_short_Lyssavirus_rabies_internal_3	49	0	355	0	0	49	0	57	70
external_short_Lyssavirus_rabies_internal_4	38	0	330	0	0	35	72	0	54
external_short_Lyssavirus_rabies_internal_5	46	55	300	0	0	36	57	71	0
external_short_Lyssavirus_rabies_internal_6	235	160	1227	65	73	74	318	131	230
external_short_Lyssavirus_rabies_internal_7	61	0	255	0	0	0	93	56	63
external_short_Lyssavirus_rabies_internal_8	93	26	319	23	86	9	79	67	90
external_short_Lyssavirus_rabies_internal_9	47	0	307	0	0	0	74	0	106
external_short_Lyssavirus_rabies_red_fox_1	9	16	54	0	0	0	18	0	9
external_short_Monkeypox_virus_Chimpanzee_2	10	247	28	10	156	16	152	41	1
external_short_Monkeypox_virus_Human_1	21	0	0	0	0	71	138	0	0
external_short_Monkeypox_virus_internal_1	112	0	0	0	420	0	364	140	0
external_short_Monkeypox_virus_internal_2	37	102	0	0	106	0	140	0	0
external_short_Monkeypox_virus_internal_3	41	0	0	0	64	65	134	0	0
external_short_Mumps_orthorubulavirus_Human_1	0	68	171	50	76	26	139	0	36
external_short_Mumps_orthorubulavirus_Human_2	72	154	334	0	0	0	0	0	89
external_short_Mumps_orthorubulavirus_Human_3	15	34	168	8	20	14	76	21	18
external_short_Mumps_orthorubulavirus_Human_4	32	40	141	19	49	17	74	14	28
external_short_Mumps_orthorubulavirus_internal_1	70	118	366	0	85	0	0	0	31
external_short_Mumps_orthorubulavirus_internal_2	58	161	176	0	0	38	66	0	31
external_short_Mumps_orthorubulavirus_internal_3	38	144	167	0	112	0	67	0	0
external_short_Mumps_orthorubulavirus_internal_4	49	40	222	23	75	37	126	21	53
external_short_Mumps_orthorubulavirus_internal_5	15	6	70	17	22	7	83	24	20
external_short_Orthomyxo_infA_HA_internal_1	80	0	48	0	0	0	101	85	0
external_short_Orthomyxo_infA_M1_internal_1	0	52	53	18	0	0	41	0	108
external_short_Orthomyxo_infA_NA_internal_1	68	4	204	34	53	32	102	4	72
external_short_Orthomyxo_infA_NP_internal_1	32	0	116	0	0	0	96	158	62
external_short_Orthomyxo_infA_NS1_internal_1	0	36	55	0	0	0	38	47	0
external_short_Orthomyxo_infA_NS2_internal_1	11	0	25	0	0	0	49	11	0
external_short_Orthomyxo_infA_PA-N182_internal_1	145	0	254	0	0	35	72	84	0
external_short_Orthomyxo_infA_PA-X_internal_1	67	0	130	0	0	0	106	194	59
external_short_Orthomyxo_infA_PA_internal_1	106	0	254	0	0	62	152	60	99
external_short_Orthomyxo_infA_PB1-N40_internal_1	72	0	249	0	0	69	248	0	109
external_short_Orthomyxo_infA_PB1_internal_1	128	0	225	0	0	66	184	110	56
external_short_Orthomyxo_infA_PB2_internal_1	66	0	155	0	0	50	101	107	96
external_short_Orthomyxo_infA_PB2_internal_2	22	0	93	21	0	35	0	23	42
external_short_Orthomyxo_infB_M1_internal_1	0	0	71	0	0	0	31	0	58
external_short_Orthomyxo_infB_NA_internal_1	0	0	107	64	0	0	109	0	72
external_short_Orthomyxo_infB_NS1_internal_1	0	0	42	20	0	0	212	0	65
external_short_Orthomyxo_infB_PA_internal_1	98	0	172	0	0	26	88	0	47
external_short_Orthomyxo_infB_PB1_2_internal_1	43	0	165	0	0	25	155	0	61
external_short_Orthomyxo_infB_PB2_2_internal_1	38	0	168	0	0	35	76	51	37
external_short_Orthomyxo_infC_NP_internal_1	53	0	124	0	0	22	0	0	15
external_short_Orthomyxo_infC_NS1_internal_1	0	0	80	0	0	0	94	0	0
external_short_Orthomyxo_infC_P3_internal_1	43	0	128	0	0	17	67	0	21
external_short_Orthomyxo_infC_PB1_internal_1	62	0	73	0	0	30	92	30	16
external_short_Orthomyxo_infC_PB2_internal_1	29	0	114	0	0	18	76	0	16
external_short_Paramyxo_F_1_Homo_sapiens_1	67	0	318	0	0	59	139	0	0
external_short_Paramyxo_F_1_Homo_sapiens_2	40	0	112	0	0	0	127	23	0
external_short_Paramyxo_F_1_internal_1	126	0	233	0	127	51	109	0	0
external_short_Paramyxo_F_1_internal_2	31	0	18	0	29	0	33	0	15
external_short_Paramyxo_G_1_Homo_sapiens_1	46	0	213	0	0	0	143	0	71
external_short_Paramyxo_G_1_internal_1	27	0	230	0	0	75	0	75	73
external_short_Paramyxo_HN_1_Aves_1	142	95	250	0	0	0	126	0	0
external_short_Paramyxo_HN_1_Aves_2	101	16	216	4	32	24	67	24	36
external_short_Paramyxo_HN_1_Homo_sapiens_1	62	0	203	0	0	0	164	0	38
external_short_Paramyxo_HN_1_Homo_sapiens_2	16	45	97	0	0	0	19	16	0
external_short_Paramyxo_HN_1_internal_1	75	99	285	0	0	0	52	0	29
external_short_Paramyxo_HN_1_internal_10	104	134	263	0	0	0	119	64	31
external_short_Paramyxo_HN_1_internal_11	119	0	349	53	0	0	101	107	77
external_short_Paramyxo_HN_1_internal_12	123	125	325	0	0	0	163	65	57
external_short_Paramyxo_HN_1_internal_13	135	0	268	0	0	0	131	129	68
external_short_Paramyxo_HN_1_internal_14	65	0	255	41	0	0	98	0	70
external_short_Paramyxo_HN_1_internal_15	56	91	296	34	0	0	55	0	46
external_short_Paramyxo_HN_1_internal_16	74	121	285	0	0	32	56	45	45
external_short_Paramyxo_HN_1_internal_17	108	231	577	56	0	0	80	0	0
external_short_Paramyxo_HN_1_internal_18	95	64	252	0	0	0	141	57	0
external_short_Paramyxo_HN_1_internal_19	235	257	871	97	34	25	196	118	182
external_short_Paramyxo_HN_1_internal_2	71	113	223	0	0	0	46	79	0
external_short_Paramyxo_HN_1_internal_20	64	6	301	34	25	12	60	154	46
external_short_Paramyxo_HN_1_internal_21	64	33	201	22	28	10	88	70	27
external_short_Paramyxo_HN_1_internal_22	318	257	878	0	0	0	480	213	148
external_short_Paramyxo_HN_1_internal_23	60	106	255	0	0	0	116	60	44
external_short_Paramyxo_HN_1_internal_24	94	84	346	0	0	0	73	0	67
external_short_Paramyxo_HN_1_internal_25	104	93	340	0	0	41	92	49	75
external_short_Paramyxo_HN_1_internal_26	63	169	296	0	0	0	90	0	0
external_short_Paramyxo_HN_1_internal_27	78	103	302	75	35	12	128	41	42
external_short_Paramyxo_HN_1_internal_28	183	0	413	0	0	0	139	0	97
external_short_Paramyxo_HN_1_internal_29	34	112	234	22	32	17	69	25	14
external_short_Paramyxo_HN_1_internal_3	11	108	269	48	7	2	80	55	29
external_short_Paramyxo_HN_1_internal_30	153	194	743	50	30	58	443	140	53
external_short_Paramyxo_HN_1_internal_31	60	0	129	0	0	0	79	81	23
external_short_Paramyxo_HN_1_internal_4	82	66	348	0	0	0	86	0	63
external_short_Paramyxo_HN_1_internal_5	116	0	549	0	0	0	154	108	62
external_short_Paramyxo_HN_1_internal_6	123	122	442	0	0	36	157	143	74
external_short_Paramyxo_HN_1_internal_7	97	68	305	0	0	0	79	90	27
external_short_Paramyxo_HN_1_internal_8	53	50	203	21	11	9	102	91	50
external_short_Paramyxo_HN_1_internal_9	48	47	230	15	8	20	105	39	48
external_short_Paramyxo_H_1_Homo_sapiens_1	0	0	45	0	0	8	34	0	15
external_short_Paramyxo_H_1_Mammalia_1	0	0	185	0	71	31	45	0	23
external_short_Paramyxo_H_1_internal_1	52	53	256	0	78	0	53	38	0
external_short_Paramyxo_L_1_Homo_sapiens_1	249	0	237	0	0	0	147	0	61
external_short_Paramyxo_L_1_Homo_sapiens_2	330	0	242	0	0	0	145	0	0
external_short_Paramyxo_L_1_Homo_sapiens_3	160	0	152	0	130	69	208	63	0
external_short_Paramyxo_L_1_Homo_sapiens_4	230	0	160	0	0	52	150	0	73
external_short_Paramyxo_L_1_Homo_sapiens_5	243	0	164	0	0	98	162	0	58
external_short_Paramyxo_L_1_Homo_sapiens_6	241	0	253	0	0	54	170	0	0
external_short_Paramyxo_L_1_Homo_sapiens_7	288	0	229	0	0	134	166	0	0
external_short_Paramyxo_L_1_Homo_sapiens_8	109	0	71	0	68	0	77	0	28
external_short_Paramyxo_L_1_internal_1	161	0	336	0	0	79	153	0	0
external_short_Paramyxo_L_1_internal_2	127	0	235	0	0	70	232	0	0
external_short_Paramyxo_L_1_internal_3	349	0	255	0	0	105	165	0	68
external_short_Paramyxo_L_1_internal_4	402	0	253	0	0	0	121	0	0
external_short_Paramyxo_L_1_internal_5	253	0	237	0	0	190	226	0	61
external_short_Paramyxo_L_1_internal_6	81	0	86	0	0	0	81	0	26
external_short_Paramyxo_M2_2_Homo_sapiens_1	14	0	35	0	0	11	93	0	0
external_short_Paramyxo_M_1_Mammalia_1	19	0	111	0	0	0	0	0	0
external_short_Paramyxo_M_1_internal_1	117	0	114	0	86	0	110	79	0
external_short_Paramyxo_M_5_internal_1	20	0	73	0	25	0	14	0	0
external_short_Paramyxo_M_6_Aves_1	119	0	300	0	0	0	0	0	33
external_short_Paramyxo_M_6_internal_1	128	0	297	0	84	0	0	0	61
external_short_Paramyxo_N_1_Homo_sapiens_1	31	0	53	39	0	0	62	0	27
external_short_Paramyxo_N_1_internal_1	39	0	93	0	0	0	43	0	17
external_short_Paramyxo_P_3_Homo_sapiens_1	14	0	43	0	56	24	64	21	0
external_short_Paramyxo_P_3_internal_1	60	0	115	0	137	25	0	0	25
external_short_Paramyxo_P_V_W_C_1_internal_1	0	35	74	0	59	0	37	0	17
external_short_Peribunya_M_1_1_Insecta_1	253	0	0	0	0	545	0	0	0
external_short_Peribunya_M_1_1_internal_1	525	0	0	283	0	779	0	0	0
external_short_Peribunya_M_1_1_internal_2	190	0	161	0	0	835	0	0	0
external_short_Peribunya_NSS_1_internal_1	0	122	106	19	148	0	93	53	0
external_short_Peribunya_NSS_1_internal_10	9	142	120	16	179	8	70	72	53
external_short_Peribunya_NSS_1_internal_11	0	153	138	26	163	0	47	0	0
external_short_Peribunya_NSS_1_internal_12	0	207	165	26	147	0	0	0	21
external_short_Peribunya_NSS_1_internal_13	0	180	112	19	200	0	51	0	0
external_short_Peribunya_NSS_1_internal_2	0	127	69	24	205	0	107	0	28
external_short_Peribunya_NSS_1_internal_3	10	396	342	32	313	9	134	113	38
external_short_Peribunya_NSS_1_internal_4	0	205	159	25	215	0	96	0	0
external_short_Peribunya_NSS_1_internal_5	0	168	128	20	163	0	68	0	0
external_short_Peribunya_NSS_1_internal_6	11	205	170	18	193	1	22	9	16
external_short_Peribunya_NSS_1_internal_7	0	301	261	36	271	0	0	0	0
external_short_Peribunya_NSS_1_internal_8	9	582	465	46	530	13	180	30	19
external_short_Peribunya_NSS_1_internal_9	17	192	77	0	142	0	67	68	0
external_short_Peribunya_RDRP_1_1_Homo_sapiens_1	801	0	0	0	203	0	0	0	0
external_short_Peribunya_RDRP_1_1_Insecta_1	1751	0	0	0	0	168	249	0	0
external_short_Peribunya_RDRP_1_1_Insecta_2	809	0	0	0	0	0	0	0	0
external_short_Peribunya_RDRP_1_1_Mammalia_1	438	0	106	0	0	182	128	0	0
external_short_Peribunya_RDRP_1_1_Unclassified_1	374	0	0	73	0	0	0	0	0
external_short_Peribunya_RDRP_1_1_internal_1	1277	0	0	284	0	0	0	0	0
external_short_Peribunya_RDRP_1_1_internal_2	1526	0	0	189	0	0	0	0	0
external_short_Peribunya_RDRP_1_1_internal_3	1933	0	0	214	0	0	0	0	0
external_short_Peribunya_RDRP_1_1_internal_4	2280	0	0	262	0	175	0	0	0
external_short_Peribunya_RDRP_1_1_internal_5	2002	0	0	0	0	0	0	0	0
external_short_Peribunya_RDRP_1_1_internal_6	0	0	0	170	0	399	152	0	0
external_short_Phenui_GC_1_Homo_sapiens_1	51	126	37	10	26	12	58	44	26
external_short_Phenui_GC_1_internal_1	37	0	168	0	0	54	62	146	80
external_short_Phenui_GC_1_internal_2	23	47	114	6	14	19	19	61	46
external_short_Phenui_GN_2_Homo_sapiens_1	25	0	0	0	0	0	46	85	41
external_short_Phenui_GN_2_internal_1	0	0	66	0	0	20	0	88	48
external_short_Phenui_L_1_Homo_sapiens_1	68	91	148	0	0	0	50	153	101
external_short_Phenui_L_1_Homo_sapiens_2	82	0	189	0	0	59	68	151	76
external_short_Phenui_L_1_Homo_sapiens_3	13	46	85	0	0	14	0	50	18
external_short_Phenui_L_1_Mammalia_1	17	14	16	4	3	1	9	35	94
external_short_Phenui_L_1_Unclassified_1	20	0	78	0	0	0	45	86	114
external_short_Phenui_L_1_internal_1	65	233	10	30	25	93	61	29	180
external_short_Phenui_L_1_internal_10	90	309	141	0	0	0	0	147	88
external_short_Phenui_L_1_internal_11	211	454	140	0	0	58	188	350	218
external_short_Phenui_L_1_internal_12	50	223	154	54	0	37	0	209	147
external_short_Phenui_L_1_internal_13	91	343	90	0	0	79	0	149	53
external_short_Phenui_L_1_internal_14	96	568	158	0	0	80	0	165	147
external_short_Phenui_L_1_internal_15	140	323	110	0	0	51	0	184	94
external_short_Phenui_L_1_internal_16	0	341	0	65	0	61	0	127	130
external_short_Phenui_L_1_internal_2	63	335	159	133	6	113	45	172	74
external_short_Phenui_L_1_internal_3	142	423	136	0	0	0	0	156	82
external_short_Phenui_L_1_internal_4	150	380	0	0	0	0	0	134	110
external_short_Phenui_L_1_internal_5	137	354	116	0	0	71	0	121	160
external_short_Phenui_L_1_internal_6	115	443	0	0	0	48	0	0	234
external_short_Phenui_L_1_internal_7	118	250	158	0	0	0	0	83	61
external_short_Phenui_L_1_internal_8	0	292	170	89	0	55	0	86	91
external_short_Phenui_L_1_internal_9	134	460	146	59	0	0	0	198	103
external_short_Phenui_NSS_1_Homo_sapiens_1	0	84	96	0	0	21	0	0	29
external_short_Phenui_NSS_1_internal_1	0	0	51	0	0	19	27	23	11
external_short_Phenui_N_1_internal_1	21	45	0	0	58	21	0	0	52
external_short_Picorna_2C_4_Homo_sapiens_1	20	0	30	0	0	0	61	0	29
external_short_Picorna_2C_8_internal_1	24	0	113	0	0	0	93	0	153
external_short_Picorna_3D_5_internal_1	8	53	130	2	34	1	10	2	13
external_short_Picorna_LAB_1_Mammalia_1	0	0	0	0	0	0	0	161	118
